Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure
Thu Jun 10 14:45:20 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:23 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:26 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:29 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:35 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:38 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:41 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:44 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:47 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:50 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:45:53 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:45:56 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:45:59 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:02 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:05 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:08 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:11 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:14 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:20 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:23 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:26 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:29 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:32 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:35 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:38 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:41 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:44 2021,14,0,0,0,0,0,72,11.5
Thu Jun 10 14:46:47 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:46:50 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:46:53 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:46:56 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:46:59 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:05 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:08 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:11 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:14 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:17 2021,14,0,0,0,0,0,71,11.5
Thu Jun 10 14:47:20 2021,14,0,27,4,4,0,73,11.5
Thu Jun 10 14:47:26 2021,15,0,23,4,4,1,88,11.5
Thu Jun 10 14:47:29 2021,15,0,20,4,4,2,91,11.5
Thu Jun 10 14:47:32 2021,15,0,20,4,4,3,93,11.5
Thu Jun 10 14:47:35 2021,15,0,17,5,4,5,93,11.5
Thu Jun 10 14:47:38 2021,16,0,15,5,4,6,94,11.5
Thu Jun 10 14:47:41 2021,15,0,15,4,4,8,94,11.5
